000025,000000,Struct,recno:Integer,SegGroup_ID:Integer,Tree_Blend_CBD_Walk_Skim_Factor:Float,Tree_Blend_Car_Skim_Factor:Float,Mode_Split_Car_Skim_Factor:Float
1,1,1.0,0.9,1.0
2,2,1.0,0.9,1.0
3,3,1.0,0.9,1.0
4,4,1.0,1.05,1.0
5,5,1.0,1.05,1.0
6,6,1.0,1.05,1.0
7,7,1.0,1.0,1.0
8,8,1.0,1.0,1.65
9,9,1.0,1.0,1.0
10,10,1.0,1.0,1.0
11,11,1.0,1.0,1.0
12,12,1.0,1.0,1.0
13,13,1.0,1.0,1.0
14,14,1.0,1.0,1.0
15,15,1.0,1.0,1.0
16,16,2.5,1.0,1.0
17,17,1.0,1.0,1.0
18,18,2.5,1.0,1.0
19,19,1.0,1.0,1.0
20,20,1.0,1.0,1.0
21,21,1.0,1.0,1.0
22,22,1.0,1.0,1.0
23,23,1.0,1.0,1.0
24,24,1.0,1.0,1.0
25,25,1.0,1.0,1.0
